500	1	0	1.135	0.599	0.19	0.394	2
250	0.5	0	1.663	0.847	0.214	0.411	2
125	0.25	0	2.591	0.938	0.21	0.42	2
50	0.1	0	3.423	0.995	0.186	0.39	2
10	0.02	0	4.356	1.522	0.205	0.853	2
5	0.01	0	4.418	0.934	0.162	0.369	2
