500	1	0	2.26	1.166	0.59	0.532
250	1	0	3.652	1.15	0.639	0.557
125	0.96	0.006	5.276	1.502	0.604	0.563
50	0.882	0.008	6.699	2.318	0.538	0.664
10	0.603	0.01	12.179	5.845	0.673	1.036
5	0.429	0.008	17.268	8.285	0.46	0.787
