1	0.603	0.01	12.179	5.845	0.673	1.036
5	0.627	0.003	9.239	6.511	0.958	1.301
10	0.625	0.005	7.665	4.292	1.264	1.365
25	0.671	0.006	11.836	23.019	1.991	4.728
50	0.691	0.005	20.458	31.621	3.736	5.424
100	0.712	0.005	587.242	661.816	6.112	10.566
