500	1	0	1	0	1	0
250	1	0	0.99	0.013	0.5	0
125	0.96	0.006	0.95	0	0.25	0
50	0.882	0.008	0.569	0.247	0.1	0
10	0.603	0.01	0.169	0.001	0.02	0
5	0.429	0.008	0.134	0.107	0.01	0
