500	1	0	2.295	17.098	0.232	0.423	1
250	0.5	0	1.907	1.33	0.187	0.391	1
125	0.248	0.004	2.029	0.89	0.157	0.364	1
50	0.1	0	2.561	0.783	0.194	0.396	1
10	0.02	0	2.865	1.446	0.203	0.403	1
5	0.01	0	2.683	0.516	0.095	0.294	0.667
