500	1	0	1	0	1	0	1	0	1	0	1	0	
250	1	0	1	0	1	0	1	0	0.99	0.014	0.98	0.011	
125	0.96	0.006	0.963	0	0.96	0.006	0.958	0.007	0.955	0.007	0.945	0.007	
50	0.882	0.008	0.883	0.006	0.879	0.004	0.892	0.003	0.886	0.007	0.887	0.003	
10	0.603	0.01	0.627	0.003	0.625	0.005	0.671	0.006	0.691	0.005	0.712	0.005	
5	0.429	0.008	0.478	0.023	0.536	0.01	0.524	0.014	0.548	0.01	0.555	0.021	
