500	1	1.31	0.604	1.833	0.531
250	1	2.17	0.753	1.685	0.639
125	1	2.624	0.614	1.716	0.515
50	0.95	4.414	1.889	2.107	1.346
10	0.685	9.039	5.866	2.51	3.48
5	0.473	15.839	11.707	2.376	3.006
